Entity,Continent,"Cardiovascular diseases","High Body-Mass Index","Lack of Protein","High Fasting Plasma Glucose","Protein-Energy Malnutrition","Digestive Diseases"
Albania,Europe,349.8244,69.36065,6.0,49.371452,0.39,14.276391
Antigua and Barbuda,North America,213.94537,81.011826,5.55,150.66737,1.13,32.259327
Argentina,South America,216.99747,73.94354,8.28,71.95559,4.12,27.378267
Armenia,Europe,332.6742,101.00166,0.25,148.35031,0.06,19.465801
Australia,Oceania,154.0971,53.65942,0.05,57.869183,0.33,13.825218
Austria,Europe,235.8798,55.2018,0.01,49.358395,0.0,25.984587
Azerbaijan,Europe,493.88245,134.68825,5.92,116.73326,0.8,46.04058
Bahamas,North America,221.27394,118.37488,4.34,125.63487,1.41,32.567436
Bahrain,Asia,219.77643,183.99872,0.55,270.84457,0.78,30.956795
Barbados,North America,192.03613,95.20393,2.93,138.35512,2.32,25.15195
Belarus,Europe,498.23938,130.37373,1.26,83.92472,0.35,23.033125
Belgium,Europe,173.59244,44.67516,0.03,45.303726,1.31,23.52143
Belize,North America,518.6093,123.03947,18.8,135.63252,4.65,38.52776
Brazil,South America,227.87212,82.77841,37.22,88.72411,6.31,33.705433
Brunei,Asia,239.88377,65.90242,0.04,253.54442,0.1,14.544878
Bulgaria,Europe,552.07355,192.71419,0.25,157.00943,0.11,23.549133
Canada,North America,149.12917,53.30072,0.04,50.1268,0.6,17.138287
Chile,South America,159.4578,69.03213,0.8,63.060165,3.47,40.819195
Colombia,South America,201.25258,60.22793,22.2,93.08929,5.59,27.197458
Costa Rica,North America,169.33978,58.256657,1.22,74.2757,0.48,35.03633
Croatia,Europe,418.54465,101.162476,0.02,106.75247,0.0,41.83226
Cuba,North America,225.66106,55.482292,0.95,80.10311,0.51,22.72543
Cyprus,Asia,177.823,71.82652,0.02,172.15288,0.04,5.1610136
Czechia,Europe,342.27258,108.931816,0.01,132.13211,0.11,28.203205
Denmark,Europe,183.12325,47.58489,0.03,46.744293,0.96,29.589218
Dominican Republic,North America,135.3624,46.2667,26.55,53.125423,3.14,21.414375
Ecuador,South America,151.84665,73.06266,31.97,79.784935,6.8,33.990368
Egypt,Africa,343.8625,182.73387,3.58,113.82348,2.19,68.84565
El Salvador,North America,154.4828,69.49599,14.66,92.96187,4.33,25.386574
Estonia,Europe,417.5003,108.73799,0.03,107.22323,0.09,15.913373
Fiji,Oceania,458.10516,59.73675,13.6,134.86807,0.53,10.31392
Finland,Europe,229.55687,54.7776,0.01,58.39039,0.02,26.450533
France,Europe,167.45828,50.07433,0.03,55.357105,0.39,20.967634
Georgia,Europe,448.38953,129.86996,0.22,103.89152,0.09,34.725113
Germany,Europe,256.4938,54.02444,0.02,55.6091,0.07,32.932682
Greece,Europe,191.36395,62.298977,0.02,69.02186,0.07,27.088835
Grenada,North America,346.29898,56.94412,0.55,107.2593,0.72,17.624952
Guatemala,North America,149.41652,46.312275,23.74,81.93785,4.12,36.9249
Guyana,South America,228.865,76.54891,3.68,87.24967,0.73,27.514439
Hungary,Europe,361.16602,93.91829,0.02,78.69226,0.02,21.834387
Iceland,Europe,157.17555,47.01047,0.01,49.18246,0.0,21.786713
Indonesia,Asia,417.4632,75.11804,8.21,81.99858,0.37,31.298296
Iran,Asia,379.26093,181.47298,0.05,176.87843,0.17,43.76797
Iraq,Asia,272.6313,123.76717,0.68,158.8853,0.28,43.37754
Ireland,Europe,182.33223,57.010853,0.01,59.24182,0.06,25.730713
Israel,Asia,159.37274,66.37836,0.01,60.781403,0.02,19.363123
Italy,Europe,138.44655,45.849434,0.03,56.69245,0.43,24.26954
Jamaica,North America,206.04784,73.67929,4.39,116.591095,0.63,33.025368
Japan,Asia,107.67832,34.245552,0.01,27.796265,0.06,27.29781
Jordan,Asia,229.52658,101.42325,0.04,183.43349,0.06,21.917835
Kazakhstan,Asia,697.09796,202.18167,0.28,116.52932,0.16,38.516026
Kuwait,Asia,223.38055,232.1997,0.06,208.3042,0.0,8.240997
Kyrgyzstan,Asia,706.2902,154.10077,0.08,148.60963,0.15,22.20658
Latvia,Europe,384.22354,116.91815,0.02,130.34355,0.01,20.424627
Lebanon,Asia,237.18962,79.16567,0.03,155.50752,0.02,11.105914
Libya,Africa,309.20636,120.44045,0.39,123.824776,0.45,45.90703
Lithuania,Europe,462.07086,145.18333,0.02,123.34639,0.02,19.738943
Luxembourg,Europe,149.15302,47.199738,0.02,41.872925,0.12,33.97334
Malaysia,Asia,224.30904,78.09836,0.02,178.56993,0.02,28.336956
Maldives,Asia,192.92934,69.14478,0.01,177.3868,0.0,6.627123
Malta,Europe,133.1351,55.904198,0.01,74.45728,0.01,23.748514
Mauritius,Africa,279.29575,82.48239,2.49,58.610447,1.16,25.232313
Mexico,North America,198.2114,73.16511,16.4,117.86843,4.53,28.372353
Moldova,Europe,516.25964,155.42691,0.04,123.834015,0.01,24.717794
Mongolia,Asia,555.7318,49.605267,0.0,76.63445,0.0,20.026638
Montenegro,Europe,394.41516,118.83967,0.02,107.34068,0.0,26.879017
Morocco,Africa,343.58655,99.332245,0.07,115.70084,0.05,35.930847
Namibia,Africa,308.82523,56.30915,1.52,111.38694,2.78,16.25115
Netherlands,Europe,176.64963,52.219215,0.03,46.30729,0.21,27.413515
New Zealand,Oceania,130.6982,54.275444,0.01,45.8102,0.07,10.754503
Nicaragua,North America,170.47327,61.334305,19.38,98.32517,1.96,35.464157
Norway,Europe,145.50093,45.369785,0.01,42.11804,0.16,18.383028
Oman,Asia,217.66367,173.72766,0.03,234.67114,0.01,19.067682
Pakistan,Asia,371.28397,78.46618,0.32,118.11468,0.15,31.684464
Panama,North America,210.21893,82.89418,5.58,110.03797,2.04,24.716116
Paraguay,South America,168.37671,70.60721,2.56,90.41793,0.52,30.495045
Peru,South America,204.87767,64.6054,19.65,83.03067,5.38,25.245966
Philippines,Asia,441.40857,55.14177,0.22,114.393906,0.01,27.070768
Poland,Europe,400.4906,120.88777,0.03,131.18631,0.06,26.128122
Portugal,Europe,207.68306,61.019775,0.03,58.773132,0.2,30.951117
Qatar,Asia,207.6614,234.1797,0.05,294.15796,0.01,19.673105
Romania,Europe,548.20764,141.30739,0.01,78.92235,0.0,31.889366
Russia,Europe,431.8961,137.0327,0.07,108.670715,0.02,42.45361
Saint Kitts and Nevis,North America,208.63086,69.64884,2.51,102.67168,0.19,21.935518
Saint Lucia,North America,292.1529,58.8538,1.13,101.448265,0.14,21.02515
Saint Vincent and the Grenadines,North America,332.7409,69.67836,2.59,107.806854,0.14,21.151304
Samoa,Oceania,373.6212,56.090733,3.99,82.41456,0.18,22.453518
Saudi Arabia,Asia,277.47302,159.75784,0.03,224.67444,0.01,13.272867
Serbia,Europe,497.86664,124.44135,0.01,91.06228,0.0,30.37911
Seychelles,Africa,274.77023,60.438515,1.21,77.50104,0.22,12.698816
Singapore,Asia,151.87015,74.60763,0.01,89.06445,0.01,14.775184
Slovakia,Europe,401.92044,111.48126,0.02,138.2871,0.04,18.788628
Slovenia,Europe,286.6802,79.18036,0.01,74.29942,0.02,14.038016
South Africa,Africa,343.7243,68.48429,2.35,71.42863,1.67,16.666998
Spain,Europe,177.46182,58.48527,0.02,60.831455,0.06,23.840536
Sri Lanka,Asia,232.7007,47.168312,0.04,90.83674,0.02,16.469702
Suriname,South America,208.28802,85.92635,3.19,86.34715,0.35,30.191902
Sweden,Europe,157.31425,43.876373,0.01,39.643505,0.05,20.306372
Switzerland,Europe,180.89839,49.77927,0.02,47.072254,0.06,24.194323
Syria,Asia,346.99457,120.88922,0.19,161.22293,0.01,29.490673
Tajikistan,Asia,629.3054,111.33475,0.06,96.40115,0.09,16.78483
Thailand,Asia,289.56363,50.920128,0.02,78.86118,0.01,13.770729
Timor-Leste,Asia,274.4725,32.789444,0.09,65.80613,0.25,17.835518
Tonga,Oceania,394.80612,74.81889,4.25,120.18635,0.6,16.908714
Trinidad and Tobago,North America,232.8214,72.69079,1.73,106.43857,0.18,32.42256
Tunisia,Africa,355.7708,102.681305,0.1,129.02689,0.07,25.604998
Turkey,Asia,344.66425,104.304565,0.08,112.17546,0.06,39.371372
Turkmenistan,Asia,512.4474,90.365395,0.08,122.25128,0.07,17.64391
Ukraine,Europe,670.33154,170.27202,0.09,106.62286,0.03,35.474033
United Arab Emirates,Asia,226.62262,160.89055,0.01,261.48117,0.0,15.482436
United Kingdom,Europe,205.11429,56.831135,0.01,52.296513,0.07,24.894825
United States of America,North America,179.91864,70.76952,0.04,92.21497,0.11,20.44396
Uruguay,South America,191.3836,71.28907,2.64,88.2391,0.39,27.973446
Uzbekistan,Asia,652.1105,140.58371,0.1,104.08958,0.03,19.938833
Vanuatu,Oceania,561.08575,63.690376,6.89,91.947815,2.05,20.757656
Venezuela,South America,166.54419,65.19908,8.77,86.115906,2.44,32.57367
Vietnam,Asia,287.25763,42.67642,0.03,82.35901,0.02,14.072152
Yemen,Asia,292.17386,75.89562,0.16,103.198425,0.08,23.757662
Zambia,Africa,303.19086,47.457134,0.61,91.256905,1.57,25.915493
Zimbabwe,Africa,322.50366,39.523415,0.89,84.50142,1.63,22.108362
